Disability_hearing,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,829,868,855,916,947,934,914,928,758,777,979,849,1096,983,922,871,823,887,1222,1123,1571,1293,1425,1434,1240,1381,1131,1193,1206,1036,1297,863,976,850,758,993,684,676,742,571,749,495,654,560,439,650,473,446,464,405,487,327,376,378,350,464,336,260,288,227,306,176,196,183,164,178,119,142,101,49,145,40,43,67,51,112,57,37,50,19,63,29,26,30,16,39,19,14,5,5,34,51144,Dekkhinathiri,MMR018004
 Yes - some difficulty,7,1,1,2,-,-,1,-,2,2,1,3,1,3,1,1,1,-,2,-,-,-,-,-,-,-,1,1,-,3,-,-,-,-,1,1,-,-,-,-,-,2,-,1,2,3,-,-,2,-,1,1,1,1,1,3,-,1,4,2,6,2,4,-,-,9,3,4,3,1,3,1,7,1,2,4,6,4,1,1,5,3,2,-,2,3,2,3,5,1,5,154,Dekkhinathiri,MMR018004
 Yes - a lot of difficulty,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,-,-,1,1,-,1,-,1,-,1,-,-,-,1,1,1,-,-,15,Dekkhinathiri,MMR018004
 Yes - cannot hear at all,2,-,-,1,-,-,-,-,-,-,2,-,-,-,-,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,1,-,-,-,-,-,15,Dekkhinathiri,MMR018004
 Total,840,869,856,919,947,934,915,928,760,779,982,852,1097,986,923,873,824,887,1225,1123,1571,1293,1425,1434,1240,1382,1132,1194,1206,1039,1297,863,976,850,759,995,684,676,743,571,749,497,654,561,441,654,473,446,466,405,488,328,378,380,351,468,336,261,292,229,312,178,200,183,164,187,122,146,104,50,149,41,52,68,53,117,64,41,53,20,70,32,29,30,18,43,22,18,11,6,39,51328,Dekkhinathiri,MMR018004
 No - no difficulty,818984,844756,881610,943870,972654,937154,970369,994257,955344,949406,1019256,941114,1045164,1080530,1007280,958909,882856,904823,1016222,850612,1047880,809920,844695,841439,774404,960030,755320,797120,867559,751148,1017507,692935,771986,753530,644981,883257,641691,660101,744558,615160,820308,530985,710972,641234,556002,774416,545627,541663,583654,469585,664824,433177,487617,497497,433064,538454,408070,373096,382000,300536,460874,254255,283195,278459,237369,319761,192136,215810,161771,112093,210079,94590,117552,117961,100358,172823,88350,75865,88793,48532,92467,43637,47783,45238,36201,45113,25076,20652,15837,11594,49378,49606774,Dekkhinathiri,MMR018004
 Yes - some difficulty,2825,1236,933,878,1005,1190,1590,1752,1929,1925,2165,1961,2195,2223,2029,1965,1667,1628,1806,1386,2093,1377,1530,1581,1581,2286,1814,1850,2300,1982,3285,2039,2461,2503,2328,3547,2491,2666,3090,2684,4763,2735,4056,3775,3693,6205,4464,4655,5573,4770,9474,5285,6726,7561,7189,10130,8347,7937,8794,7493,16403,8171,9404,10290,9982,15511,9797,11752,9898,7303,19825,7788,10948,11915,11216,21600,11520,10576,14073,8196,18915,8648,10120,9902,8471,11196,6536,5330,4280,3221,16408,542596,Dekkhinathiri,MMR018004
 Yes - a lot of difficulty,1004,240,180,226,226,290,340,392,426,425,431,357,421,450,406,385,374,358,441,356,635,339,357,360,318,537,359,406,470,377,758,380,485,528,407,709,396,409,490,389,779,384,550,482,500,903,611,583,735,599,1270,650,851,878,823,1250,1019,897,1064,828,2031,895,1094,1110,1123,1906,1140,1386,1211,920,2784,962,1514,1701,1582,3240,1674,1573,2308,1381,3719,1605,1967,2020,1746,2427,1450,1240,1060,836,5241,87339,Dekkhinathiri,MMR018004
 Yes - cannot hear at all,565,162,208,266,302,343,439,486,493,527,504,424,502,491,459,430,416,403,489,463,902,487,408,408,355,649,492,531,536,368,754,365,503,697,429,586,325,297,376,258,578,259,396,334,288,669,382,347,415,292,800,355,450,397,344,527,406,357,442,290,777,318,378,392,325,623,375,459,366,275,867,262,393,425,448,938,470,410,642,334,1139,404,537,572,485,758,464,408,342,249,1930,43191,Dekkhinathiri,MMR018004
 Total,823378,846394,882931,945240,974187,938977,972738,996887,958192,952283,1022356,943856,1048282,1083694,1010174,961689,885313,907212,1018958,852817,1051510,812123,846990,843788,776658,963502,757985,799907,870865,753875,1022304,695719,775435,757258,648145,888099,644903,663473,748514,618491,826428,534363,715974,645825,560483,782193,551084,547248,590377,475246,676368,439467,495644,506333,441420,550361,417842,382287,392300,309147,480085,263639,294071,290251,248799,337801,203448,229407,173246,120591,233555,103602,130407,132002,113604,198601,102014,88424,105816,58443,116240,54294,60407,57732,46903,59494,33526,27630,21519,15900,72957,50279900,Dekkhinathiri,MMR018004
